video_path,label
FakeAVCeleb\RealVideo-RealAudio\African\women\id01907\00148.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id02071\00195.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id02301\00092.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id02508\00083.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id02586\00042.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id02617\00028.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id02721\00424.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id02808\00056.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id02824\00130.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id02838\00080.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id02948\00298.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id03103\00130.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id03569\00065.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id03656\00052.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id03658\00077.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id03713\00249.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id03747\00273.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id04055\00001.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id04245\00072.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id04374\00032.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id04376\00181.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id04437\00002.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id04540\00078.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id04547\00052.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id04689\00005.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id04705\00408.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id04736\00083.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id04820\00015.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id04939\00174.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id05106\00078.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id05231\00149.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id05235\00052.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id05251\00033.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id05252\00052.mp4,real
FakeAVCeleb\RealVideo-RealAudio\African\women\id05980\00143.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00018\00181.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00020\00206.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00021\00010.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00029\00288.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00049\00118.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00052\00015.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00060\00307.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00062\00278.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00087\00002.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00088\00005.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00169\00021.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00179\00143.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00184\00241.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00243\00037.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00264\00257.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00345\00243.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00529\00409.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00696\00005.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00708\00043.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00775\00092.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00777\00160.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00943\00304.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00945\00107.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id00971\00253.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01035\00012.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01042\00154.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01044\00336.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01048\00160.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01096\00037.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01105\00083.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01124\00063.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01163\00195.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01168\00028.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01172\00015.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01175\00025.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01182\00167.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01192\00217.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01201\00028.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01210\00283.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01211\00023.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id01239\00280.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id03525\00048.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id03668\00143.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id03678\00078.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id03757\00149.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id04034\00009.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id04073\00021.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id04216\00470.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id04219\00130.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\men\id04221\00053.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00025\00025.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00097\00162.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00098\00004.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00100\00028.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00145\00043.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00180\00206.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00190\00072.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00231\00037.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00261\00048.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00272\00195.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00291\00052.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00381\00030.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00383\00171.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00385\00439.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00398\00016.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00418\00052.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00428\00017.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00431\00039.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00458\00072.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00462\00143.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00555\00005.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00575\00092.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00616\00305.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00618\00195.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00680\00110.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00752\00340.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00835\00195.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00841\00078.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00842\00043.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id00848\00028.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id01004\00028.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id01005\00028.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id01075\00160.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id01091\00236.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id01216\00025.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id01217\00005.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id01223\00255.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id01225\00300.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id01227\00052.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id01231\00015.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id01238\00037.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id01245\00028.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id01248\00005.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id02464\00002.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id02466\00136.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id03556\00043.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id03605\00048.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id03696\00160.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id03707\00055.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (American)\women\id03781\00113.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id00056\00028.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id00126\00173.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id00560\00041.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id00597\00019.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id00740\00015.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id00863\00069.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id01204\00092.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id01212\00183.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id01215\00001.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id01589\00017.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id01683\00052.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id02332\00055.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id02365\00028.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id02493\00073.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id02553\00043.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id02561\02561.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id03028\00466.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id03168\03168.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id03889\00052.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id03965\00051.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id04111\00015.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id04222\00078.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id04687\00066.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id04691\1.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id04726\00245.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id04774\00032.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id04789\002121.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id04884\00028.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id05268\00010.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id05332\00065.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id05383\00015.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id05479\05479.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id05743\00015.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id06152\06152.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id06269\00005.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id06467\00010.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id06470\00052.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id06535\00183.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id06591\00021.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id06594\00002.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id06776\00021.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id06807\00015.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id06878\00001.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id07102\00052.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id07338\00003.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id08299\00110.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id08613\00074.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id08652\00006.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id09053\00005.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\men\id09143\00056.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id00137\00025.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id00363\00014.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id00430\00209.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id00566\00032.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id00579\00030.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id00582\00006.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id00763\00074.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id00935\00005.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id01281\00040.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id01451\00099.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id02587\00020.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id02807\00032.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id03211\00032.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id03379\00032.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id03940\00025.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id04057\00015.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id04066\00013.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id04144\00028.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id04414\00001.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id04701\00017.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id05576\00368.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id05620\00005.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id05631\00073.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id05844\00072.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id06054\00010.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id06060\00219.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id06061\00002.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id06065\00160.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id06066\00028.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id06158\00015.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id06225\00005.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id06388\00005.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id06427\00138.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id06443\00232.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id06462\00014.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id07039\00105.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id07383\00011.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id07739\00019.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id07799\00063.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id07901\00040.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id08139\00067.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id08397\00167.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id08402\00092.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id08819\00052.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id09116\00026.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id09125\00098.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id09171\00092.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id09174\00015.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id09175\00072.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Asian (East)\women\id09181\00048.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00055\00120.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00063\00021.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00171\00092.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00183\00015.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00185\00015.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00186\00120.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00187\00360.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00192\00078.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00225\00078.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00241\00015.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00253\00021.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00265\00130.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00266\00470.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00282\00268.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00292\00072.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00305\00113.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00306\00015.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00358\00217.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00368\00078.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00415\00017.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00498\00014.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00519\00028.mp4,real
FakeAVCeleb\RealVideo-RealAudio\Caucasian (European)\men\id00520\00187.mp4,real
